id;revenu_brut;trim_f;une_part;une_part_et_demi;deux_parts;deux_parts_et_demi;trois_parts;trois_parts_et_demi;quatre_parts;quatre_parts_et_demi;cinq_parts
1;66803;52722;73807;12180;40026;28722;39969;22379;11037;29521;32940
2;95779;29329;66093;29663;85805;61923;50015;86377;9471;54697;16930
3;32819;98966;85133;95512;78442;42963;98235;26829;60109;47900;77444
4;57336;6311;3024;70132;42661;18918;49379;35862;19132;36605;35311
5;72746;73765;65581;10444;40470;48069;40002;14466;33987;70278;90637
6;1962;4588;28689;72654;64511;82460;91641;93881;85406;1753;32460
7;72379;67022;70015;84043;3525;88183;41951;73077;50707;32355;59619
8;64568;43630;63885;98726;89133;97524;26677;33393;33944;79295;70160
9;84157;30475;4811;80943;85923;8709;87495;68233;53303;60148;71573
10;29287;33002;61209;39774;87408;36430;54439;32508;37174;56995;71662
