id;retenue_ipm;retenue_pharmacie;autre_retenue;brut_fiscal;net_a_payer;salaire_brut_mensuel;impot_sur_revenu;trimf;ipres_part_salariale;tot_retenue;ipres_part_patronales;css_accident_de_travail;css_prestation_familiale;ipm_patronale;contribution_forfaitaire;nb_part;nb_femmes;nb_enfants;prime_imposable;prime_non_imposable;avantage;type_paiement_id;exercice_id
1;27393;7507;63973;59611;61611;29275;27954;19440;11218;64524;25078;37096;94334;53628;20667;14032;48300;2751;50227;83466;91788;1;1
2;69251;56147;31612;67807;77562;94659;51662;98420;26136;58157;2964;64119;89675;77407;19241;98376;76669;72958;85823;10220;38489;2;2
3;78971;13139;19839;92332;96501;59937;97726;52121;12486;6064;21146;1385;39895;43216;50425;6342;26554;29358;18677;94126;71719;3;3
4;65573;33055;67344;54154;7329;19662;72256;71618;20318;57677;32134;58046;48184;84723;48817;90598;47602;25091;78322;30202;40215;4;4
5;15661;82631;69056;83104;97491;76224;42695;11359;77867;12745;89712;26222;2801;17289;28472;95776;9222;58060;95458;52135;16799;5;5
6;62591;98657;12588;23752;7670;41963;5232;44806;58515;29650;89384;902;70449;98039;20671;48001;15166;37357;93513;38934;58898;6;6
7;95307;51854;76951;55278;19649;38593;94408;77095;99828;56466;73268;19636;73332;44381;1479;4188;59930;85369;16442;8524;1141;7;7
8;35903;22105;85425;15572;3519;73369;96173;59093;92083;55357;94945;62124;934;71619;566;15084;2251;52839;13559;99793;91322;8;8
9;98854;9854;44668;25012;87838;48226;43804;30155;55897;20480;10726;79984;61798;95445;90318;37247;94750;14660;66880;72256;74451;9;9
10;32021;34964;16335;50993;27166;43573;7295;69944;92487;84165;8263;37085;42912;86966;97407;69243;87157;41400;37469;25975;38005;10;10
