id;date_debut;date_fin;motif_rejet;libelle;type_absence_id
1;2019-01-09;2019-01-10;Fish;Avon;1
2;2019-01-10;2019-01-10;strategic Square;Granite;2
3;2019-01-10;2019-01-09;Refined Soft Chicken paradigms Savings Account;Designer Personal Loan Account Generic Wooden Salad;3
4;2019-01-09;2019-01-10;withdrawal invoice;Motorway payment;4
5;2019-01-10;2019-01-09;Fantastic Cotton Salad Buckinghamshire;Computer deposit Virginia;5
6;2019-01-10;2019-01-09;Norway architectures aggregate;system out-of-the-box Avon;6
7;2019-01-09;2019-01-10;Sleek Steel Hat;calculating solid state reinvent;7
8;2019-01-10;2019-01-10;IB compress;impactful grey;8
9;2019-01-10;2019-01-09;navigate Lithuania;West Virginia Shirt collaboration;9
10;2019-01-10;2019-01-09;Communications parsing;Keys;10
