id;brut_fiscal;net_a_payer;salaire_brut_mensuel;impot_sur_revenu;trimf;ipres_part_salariale;tot_retenue;ipres_part_patronales;css_accident_de_travail;css_prestation_familiale;ipm_patronale;contribution_forfaitaire;prime_imposable;prime_non_imposable;avantage;recap_ligne
1;25165;67522;26901;65113;13274;45733;80677;60701;9936;80188;8323;7287;7113;36261;41039;32427
2;87514;90184;72868;90131;66617;63267;25578;84908;53132;6556;55294;66802;27325;10035;96791;1780
3;15634;86593;31267;20663;86940;19809;32795;12140;79376;52929;26544;66105;1209;68866;44160;92021
4;37734;89990;44325;14298;36883;5539;50058;3785;57724;62902;22295;40798;84829;30648;12671;99331
5;17637;2811;51828;34250;52612;19523;26758;19237;22020;53362;27911;1219;14574;77124;1815;8200
6;41079;21257;12892;19699;11193;57255;2953;79566;18921;47320;16754;86702;94475;97195;59245;71930
7;17856;86513;93809;37046;32889;78043;9117;30767;87646;25310;94474;59126;62137;42652;84293;75978
8;2619;1349;72253;85350;8842;38239;81609;44996;34032;90457;1296;17508;21848;92530;54996;5074
9;97220;45913;85901;62021;3972;12720;92099;22921;87416;74662;59629;10393;12017;67707;53718;61422
10;99809;12897;85827;40286;1300;22157;82791;88550;24306;30050;5869;19980;70806;50443;70743;53717
