id;libelle;code;taux_patronal;taux_salarial;plafond
1;deposit Trinidad and Tobago;Managed Unbranded Wooden Gloves;94916;19682;21848
2;Borders Sierra Leone deposit;backing up Iraqi Dinar;43813;42108;69333
3;Automotive infrastructures Pine;XSS;64887;31844;10925
4;Wooden Usability ivory;clear-thinking Focused;64095;51656;78366
5;Licensed iterate;green indigo;94357;43751;93358
6;Rubber Wooden IB;Kina Bacon digital;36015;36356;50197
7;program Supervisor feed;solid state;60281;93504;55135
8;Sleek SQL override;Extended;84508;38259;32762
9;methodical zero administration;monetize;74973;52387;68409
10;Persevering Guinea Tuvalu;District;3178;20405;24498
