id;denomination;telephone;adresse;ninea;capital;numero_ipres;numero_css;logo;logo_content_type;ipm;signature;signature_content_type;montant_ipm
1;rich;188.510.7678 x57970;Intuitive payment B2B;Avon Assurance;94528;Configuration Berkshire eyeballs;multi-byte Villages Manat;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;2642
2;Data;414.237.3239;relationships Handcrafted Soft Keyboard invoice;Faroe Islands ivory;17201;Knolls bypassing Shoes;Kina;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;56360
3;parsing indexing;489.817.5496 x5906;Borders synthesize Savings Account;Concrete;43564;grey Small Fresh Chair;Rustic Soft Bacon synergy;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;78594
4;enhance Incredible Plastic Sausages functionalities;710.823.3553 x857;B2C brand Music;Refined;6336;groupware;United Arab Emirates Auto Loan Account;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;36585
5;Dominican Republic HDD panel;238.170.5962 x1712;Industrial help-desk Infrastructure;invoice;40637;mission-critical productize interface;connecting open-source Hat;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;43816
6;Garden Tools;716.376.3182 x826;Administrator Moldovan Leu Bulgaria;harness;5906;Berkshire;Tugrik;../fake-data/blob/hipster.png;image/png;true;../fake-data/blob/hipster.png;image/png;14485
7;azure;979-711-5908;Home Loan Account indigo;Maryland Gorgeous Concrete Keyboard Credit Card Account;39970;transmitter Pizza;Salad;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;63755
8;Morocco Ameliorated Sleek Soft Soap;630-027-9907;Awesome;Fantastic payment;18487;leading-edge salmon;Paradigm;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;49699
9;Specialist optical Frozen;260-222-6426 x06213;program Aruban Guilder;Singapore Dollar THX copy;47093;reboot;value-added Terrace Front-line;../fake-data/blob/hipster.png;image/png;false;../fake-data/blob/hipster.png;image/png;46432
10;Global;012.688.2335 x1611;dot-com;Officer Estates;57096;ADP;invoice Route override;../fake-data/blob/hipster.png;image/png;true;../fake-data/blob/hipster.png;image/png;77423
