id;libelle;code;nb_parts
1;envisioneer;Licensed Fresh Cheese Bedfordshire;37416
2;Berkshire Rustic;deliverables Argentine Peso Ameliorated;48180
3;Bedfordshire;impactful;83612
4;transmitting;Automotive;44899
5;Dynamic;Intuitive;46734
6;Mountain;Netherlands Antilles mobile parsing;34494
7;viral Quality azure;Dam;69251
8;Pre-emptive out-of-the-box;Florida Triple-buffered;63798
9;Florida coherent web-readiness;invoice District mobile;681
10;programming Intelligent Steel Bacon;Chips content-based eyeballs;12387
